"Ref","Qnty","Waarde","Cmp name","Footprint","Description","Mouser"
"C1,","1","C_10uF_0603_16V","C_10uF_0603_16V","MAIN_PCB_LIB:C_0603","","187-CL10A106KO8NQNC"
"C2,C9,","2","C_1.5uF_0603_25V","C_1.5uF_0603_25V","MAIN_PCB_LIB:C_0603","","810-C1608X5R1E155K"
"C3,","1","C_390pF_0603_50V","C_390pF_0603_50V","MAIN_PCB_LIB:C_0603","","80-C0603C391K5R"
"C4,","1","C_4.7uF_0603_25V","C_4.7uF_0603_25V","Main_LIB:C_0603","","963-TMK107BBJ475KA-T"
"C5,","1","C_100nF_0603_25V","C_100nF_0603_25V","MAIN_PCB_LIB:C_0603","","810-C0603X5R1E104KBB"
"C6,C8,","2","C_680nF_TH_450V","C_680nF_TH_450V","MAIN_PCB_LIB:C_ECWFD_Panasonic","","667-ECW-FD2W684J"
"C7,","1","C_1nF_0603_50V","C_1nF_0603_50V","MAIN_PCB_LIB:C_0603","","603-CC603MRX7R9BB102"
"D1,","1","D_SMCJ9.0CA_TVS","D_SMCJ9.0CA_TVS","MAIN_PCB_LIB:D_9V_TVS_SMCJ-Q","","576-SMCJ9.0CA"
"D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,","11","D_RED_0603_Wurth_150060RS75000","D_RED_0603_Wurth_150060RS75000","MAIN_PCB_LIB:D_RED_0603_Wurth","","710-150060RS75000"
"D13,D14,D15,D16,","4","D_1N4148WS_SOD323F_ONSEMI","D_1N4148WS_SOD323F_ONSEMI","MAIN_PCB_LIB:D_1N4148_SOD-323F_ONSEMI","","512-1N4148WS"
"J1,","1","J_Barreljack_3.5mm_Wurth_TH","J_Barreljack_3.5mm_Wurth_TH","MAIN_PCB_LIB:J_Barreljack_3.5mm_Wurth","","710-694102303002"
"J2,","1","J_3.5mm_jack_SJ1-3523N","J_3.5mm_jack_SJ1-3523N","CUI_SJ1-3523N","","490-SJ1-3523N"
"J3,","1","J_2_screwterminal_2.54_282834-2","J_2_screwterminal_2.54_282834-2","MAIN_PCB_LIB:J_2_screwterminal_2.54","","571-282834-2"
"L1,L2,","2","L_22uH_RFS1113_coilcraft_TH","L_22uH_RFS1113_coilcraft_TH","MAIN_PCB_LIB:L_RFS1113_coilcraft","","994-RFS1113-223ME"
"Q1,Q2,","2","Q_IRFZ44NPBF_N-Channel_Infineon","Q_IRFZ44NPBF_N-Channel_Infineon","MAIN_PCB_LIB:Q_IRFZ44NPBF_Infineon","","942-IRFZ44NPBF"
"R1,R4,R7,R8,R13,R14,R17,","7","R_10K_0603","R_10K_0603","MAIN_PCB_LIB:R_0603","","667-ERJ-UP3F1002V"
"R2,","1","R_1K_0603","R_1K_0603","MAIN_PCB_LIB:R_0603","","667-ERJ-PB3D1001V"
"R3,","1","R_20K_0603","R_20K_0603","MAIN_PCB_LIB:R_0603","","603-RT0603FRE0720KL"
"R5,R15,","2","R_2K_0603","R_2K_0603","MAIN_PCB_LIB:R_0603","","603-RT0603BRD072KL"
"R6,","1","R_10K_Potmeter","R_10K_Potmeter","MAIN_PCB_LIB:R_TH_POT_P160series","",""
"R9,","1","R_60.4K_0603","R_60.4K_0603","MAIN_PCB_LIB:R_0603","","603-RT0603DRE0760K4L"
"R18,","1","R_3K16_0603","R_3K16_0603","MAIN_PCB_LIB:R_0603","","603-RT0603BRD073K16L"
"U2,","1","U_LM358AP_TI_DIP","U_LM358AP_TI_DIP","MAIN_PCB_LIB:U_LM358AP_TI_DIP","","926-LM358N/NOPB"
"U3,","1","U_LM393N_NOPB","U_LM393N_NOPB","MAIN_PCB_LIB:U_TI_LM393N_NOPB","","926-LM393N/NOPB"
"U4,","1","U_TC4427M_Microchip","U_TC4427M_Microchip","MAIN_PCB_LIB:U_8_DIP_TC4427CPA_Microchip","","579-TC4427ACPA"
"U5,","1","U_555_timer","U_555_timer","MAIN_PCB_LIB:U_LM555CN","",""
"U6,","1","U_LM3914N-1_NOPB","U_LM3914N-1_NOPB","MAIN_PCB_LIB:U_LM3914_TI_DIP","","926-LM3914N-1/NOPB"
